PatchID,XCOORD,YCOORD,ID,sex,age,size,mature,newmature,layeggs,capture,recapture,infection,CDist,Hindex,Species,ClassFile,SubPatchID,L0A0,L0A1,L1A0,L1A1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U31,XX,1,50.279,1,1,1.0,0,0,0,-9999.0,1.0,1,P2_CV0,3,2,0,2,0
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U32,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U33,XX,0,31.0,0,0,0.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,2,0
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U34,XX,1,53.245,1,1,1.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U35,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U36,XY,0,31.0,0,0,0.0,0,0,0,-9999.0,1.0,1,P2_CV0,3,2,0,0,2
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U37,XY,1,53.174,1,1,0.0,0,0,0,-9999.0,1.0,1,P2_CV0,3,2,0,2,0
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U38,XY,0,31.0,0,0,0.0,0,0,0,-9999.0,1.0,1,P2_CV0,3,2,0,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U39,XY,1,44.614,1,1,0.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,0,2
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U40,XY,1,57.083,1,1,0.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,0,2
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U41,XY,2,92.0,1,1,0.0,0,0,0,-9999.0,1.0,1,P2_CV0,3,2,0,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U42,XX,1,53.503,1,1,1.0,0,0,0,-9999.0,1.0,1,P2_CV0,3,2,0,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U43,XY,0,31.0,0,0,0.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U44,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,2,0
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U45,XX,2,92.0,1,1,1.0,0,0,0,-9999.0,0.0,1,P2_CV0,3,0,2,2,0
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U46,XY,1,60.308,1,1,0.0,0,0,0,-9999.0,1.0,1,P2_CV0,3,2,0,0,2
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U47,XX,0,31.0,0,0,0.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,2,0
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U48,XY,0,31.0,0,0,0.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,1,1
3,750.0,0.0,R3_F3_m-1f-1_P3_Y-1_U49,XX,0,31.0,0,0,0.0,0,0,0,-9999.0,0.5,1,P2_CV0,3,1,1,2,0
